pattern,support,gain
doordie_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero||doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_single,2,1.0
doordie_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero,5,-1.0
doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_single,3,-1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,2,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_raider_early_zero,2,-1.0
bonus_success_Bengaluru_Bulls_vs_U_Mumba_defender_early_zero,1,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_null_early_zero,1,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_left_corner_early_zero,1,-1.0
allout_success_Gujarat_Giants_vs_U_Mumba_none_early_high,1,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_defender_early_zero,1,-1.0
