pattern,support,gain
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,3,5.0
doordie_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero||doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,5,4.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_null_early_zero,5,4.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,4,3.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,3,2.0
bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_null_early_zero||doordie_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,3,2.0
bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_null_early_zero||bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_null_early_zero,3,2.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,13,-1.0
bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_null_early_zero,9,-1.0
doordie_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,8,-1.0
