pattern,support,gain
doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single,2,3.0
doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero,2,3.0
doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero,3,2.0
doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single,3,2.0
doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single||bonus_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_unknown_early_zero,1,0.0
bonus_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero,1,0.0
doordie_unknown_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_zero,5,-1.0
doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_single,4,-1.0
bonus_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_unknown_early_zero,1,-1.0
doordie_success_Puneri_Paltan_vs_Gujarat_Fortunegiants_none_early_high,1,-1.0
