pattern,support,gain
bonus_success_Bengaluru_Bulls_vs_U_Mumba_null_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,2,1.0
doordie_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,2,1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single||bonus_success_Gujarat_Giants_vs_U_Mumba_left_cover_early_zero,1,0.0
doordie_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,4,-1.0
bonus_success_Bengaluru_Bulls_vs_U_Mumba_null_early_zero,3,-1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,2,-1.0
doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_single,2,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_left_cover_early_zero,1,-1.0
doordie_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero,1,-1.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,1,-1.0
