pattern,support,gain
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single||doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,4,3.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,3,2.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_high||doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,9,-1.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,9,-1.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_all_rounder_early_zero,3,-1.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_high,2,-1.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_right_cover_early_zero,2,-1.0
