pattern,support,gain
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single||doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,2,1.0
regular_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,1,0.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,1,0.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,6,-1.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,4,-1.0
regular_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,1,-1.0
bonus_success_Haryana_Steelers_vs_Bengal_Warriors_unknown_early_zero,1,-1.0
bonus_success_Haryana_Steelers_vs_Bengal_Warriors_right_corner_early_zero,1,-1.0
bonus_success_Haryana_Steelers_vs_Bengal_Warriors_raider_early_zero,1,-1.0
