pattern,support,gain
doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single,3,2.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single,2,1.0
doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single,8,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_zero,4,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_raider_early_zero,2,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_high,1,-1.0
regular_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_right_cover_early_zero,1,-1.0
regular_unknown_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_zero,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_right_corner_early_zero,1,-1.0
