pattern,support,gain
regular_success_nan_vs_Tamil_Thalaivas_none_early_single||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,4,3.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,3,2.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero,2,1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_high||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,2,1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,2,1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single,9,-1.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,6,-1.0
bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero,3,-1.0
bonus_success_nan_vs_Tamil_Thalaivas_unknown_early_zero,3,-1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_high,2,-1.0
