pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,8,7.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,4,7.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,4,7.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,6,5.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,6,5.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,3,5.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,19,-1.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,11,-1.0
bonus_success_Bengal_Warriors_vs_Telugu_Titans_left_cover_early_zero,3,-1.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_high,2,-1.0
