pattern,support,gain
doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero,3,5.0
bonus_success_U_Mumba_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero,5,4.0
doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero,5,4.0
doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single,5,4.0
doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero,5,4.0
doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single||doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single,5,4.0
doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_U_Mumba_vs_Gujarat_Fortunegiants_unknown_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero,16,-1.0
doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single,11,-1.0
bonus_success_U_Mumba_vs_Gujarat_Fortunegiants_unknown_early_zero,6,-1.0
