pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,3,5.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,2.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,3,2.0
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_high,2,1.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,7,-1.0
bonus_success_Puneri_Paltan_vs_U.P._Yoddhas_unknown_early_zero,7,-1.0
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,5,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,-1.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_high,2,-1.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,2,-1.0
