pattern,support,gain
bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero||bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,2,3.0
bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero||bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero,3,2.0
bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,2,1.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,1,0.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single||bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,1,0.0
bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero,5,-1.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,4,-1.0
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,2,-1.0
bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,1,-1.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_high,1,-1.0
