pattern,support,gain
regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single||bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero,2,1.0
bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero||bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero,2,1.0
regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single||regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single,2,1.0
regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single||bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero||bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero,1,1.0
bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero||regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single,1,0.0
regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single||empty_unknown_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_zero,1,0.0
empty_unknown_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_zero||regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single,1,0.0
regular_success_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_single,5,-1.0
bonus_success_Tamil_Thalaivas_vs_UP_Yoddhas_unknown_early_zero,4,-1.0
empty_unknown_Tamil_Thalaivas_vs_UP_Yoddhas_none_early_zero,1,-1.0
