pattern,support,gain
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero,5,4.0
bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,2,3.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,3,2.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,2,1.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,2,1.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,2,1.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,10,-1.0
bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero,7,-1.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,5,-1.0
