pattern,support,gain
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single,2,3.0
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single,3,2.0
doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero,6,-1.0
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
bonus_success_U_Mumba_vs_Jaipur_Pink_Panthers_left_corner_early_zero,2,-1.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_left_corner_early_zero,1,-1.0
doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,1,-1.0
