pattern,support,gain
bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero||doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,2,3.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,3,2.0
bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero||bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero,3,2.0
doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_single||bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero,2,1.0
bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero||doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero||doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_single,2,1.0
bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero,7,-1.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,6,-1.0
doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_single,4,-1.0
empty_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,1,-1.0
