pattern,support,gain
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero,3,2.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero||regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero,2,1.0
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,10,-1.0
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero,5,-1.0
