pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_null_early_zero,3,2.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,2,1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_null_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,8,-1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_null_early_zero,6,-1.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,5,-1.0
regular_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,3,-1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_unknown_early_zero,2,-1.0
