pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,2,1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_raider_early_zero||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,1,0.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,1,0.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,1,0.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_all_rounder_early_zero,1,0.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_all_rounder_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,1,0.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,4,-1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_raider_early_zero,3,-1.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,3,-1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_all_rounder_early_zero,1,-1.0
