pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero||bonus_success_U.P._Yoddha_vs_Gujarat_Giants_left_cover_early_zero,2,1.0
bonus_success_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero,1,0.0
doordie_unknown_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero||doordie_success_U.P._Yoddha_vs_Gujarat_Giants_none_early_single,1,0.0
doordie_success_U.P._Yoddha_vs_Gujarat_Giants_none_early_single||doordie_unknown_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero,1,0.0
doordie_unknown_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero,5,-1.0
bonus_success_U.P._Yoddha_vs_Gujarat_Giants_left_cover_early_zero,3,-1.0
bonus_success_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero,1,-1.0
doordie_success_U.P._Yoddha_vs_Gujarat_Giants_none_early_single,1,-1.0
bonus_success_U.P._Yoddha_vs_Gujarat_Giants_right_cover_early_zero,1,-1.0
regular_unknown_U.P._Yoddha_vs_Gujarat_Giants_none_early_zero,1,-1.0
