pattern,support,gain
doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero||bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero,4,3.0
doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero||bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero||doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero,2,3.0
bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero||doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero||bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero,2,3.0
bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero||doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero,2,1.0
bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero||doordie_success_nan_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_success_nan_vs_Bengal_Warriors_none_early_single||doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero,2,1.0
doordie_unknown_nan_vs_Bengal_Warriors_none_early_zero,5,-1.0
bonus_success_nan_vs_Bengal_Warriors_unknown_early_zero,5,-1.0
doordie_success_nan_vs_Bengal_Warriors_none_early_single,2,-1.0
empty_unknown_nan_vs_Bengal_Warriors_none_early_zero,2,-1.0
