pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero,2,3.0
bonus_success_Telugu_Titans_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero,2,1.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_single,2,1.0
doordie_success_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_single||doordie_success_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_single,2,1.0
doordie_success_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero,1,0.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Telugu_Titans_vs_Gujarat_Fortunegiants_unknown_early_zero,1,0.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_zero,7,-1.0
doordie_success_Telugu_Titans_vs_Gujarat_Fortunegiants_none_early_single,4,-1.0
bonus_success_Telugu_Titans_vs_Gujarat_Fortunegiants_unknown_early_zero,3,-1.0
