pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero||bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero,3,2.0
bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero||bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero,3,2.0
bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single,1,0.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,1,0.0
bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single,1,0.0
bonus_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_unknown_early_zero,6,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,4,-1.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single,2,-1.0
