pattern,support,gain
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||bonus_success_U_Mumba_vs_Bengal_Warriors_left_corner_early_zero,1,0.0
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,5,-1.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,1,-1.0
bonus_success_U_Mumba_vs_Bengal_Warriors_left_corner_early_zero,1,-1.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_high,1,-1.0
bonus_success_Gujarat_Giants_vs_Bengal_Warriors_null_early_zero,1,-1.0
bonus_success_Gujarat_Giants_vs_Bengal_Warriors_right_cover_early_zero,1,-1.0
allout_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_high,1,-1.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,1,-1.0
