pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero,5,4.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_single,3,2.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_single||bonus_success_Tamil_Thalaivas_vs_U.P._Yoddhas_unknown_early_zero,2,1.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddhas_unknown_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero,11,-1.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddhas_unknown_early_zero,5,-1.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_single,5,-1.0
empty_unknown_Tamil_Thalaivas_vs_U.P._Yoddhas_none_early_zero,3,-1.0
