pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero,3,5.0
doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero,4,3.0
doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single,3,2.0
bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_left_corner_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero,2,1.0
doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero,2,1.0
doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_left_corner_early_zero,1,0.0
doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero,8,-1.0
doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single,4,-1.0
bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_left_corner_early_zero,2,-1.0
bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_right_cover_early_zero,1,-1.0
