pattern,support,gain
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,8,7.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,4,7.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,2,5.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,2,3.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||bonus_success_nan_vs_Gujarat_Giants_unknown_early_zero,2,3.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,2,1.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||bonus_success_nan_vs_Gujarat_Giants_unknown_early_zero,2,1.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,12,-1.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single,2,-1.0
bonus_success_nan_vs_Gujarat_Giants_unknown_early_zero,2,-1.0
