pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero,4,3.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero,2,3.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_unknown_early_zero,2,3.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_unknown_early_zero,3,2.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_unknown_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_single,2,1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero,2,1.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_unknown_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_unknown_early_zero,1,0.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_zero,8,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_unknown_early_zero,4,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddhas_none_early_single,3,-1.0
